Text,Rätt Kategori,Modell_Kategori,Tid (s),Rätt,Model,Antal Artiklar,Korrekt Klassifikation,Accuracy,Precision,Recall,CPU,GPU,Genomsnitt tid för artiklar
"Sluggish economy hits German jobs

The number of people out of work in Europe's largest economy has risen for the tenth ...",business,"Thinking...
We need to classify the article into a single category. The article is about German unemployment, economy, job market. The instructions: answer only one category, no extra text, in English. If it's economy, say ""business"". So category ""business"".
...done thinking.

Business",0.76,False,,,,,,,,,
"Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but st...",business,"Thinking...
We need to read article and categorize into a single category. They instruct to output only one word category in English. If we think it's economy, we should output ""business"" (instead of economy). So the article is about French economy performance. So category: business.
...done thinking.

Business",0.77,False,,,,,,,,,
"US trade gap hits record in 2004

The gap between US exports and imports hit an all-time high of $671.7bn (£484bn) in 20...",business,"Thinking...
The user gives a news article. They want the assistant to categorize it into a single category. They specify rules: Respond only with a single category, in English, no extra text. If we think it's economy, we should respond ""business"". The article is about US trade deficit, trade gap, etc. So category ""business"" is appropriate.

We need to respond with just ""business"".
...done thinking.

business",1.03,False,,,,,,,,,
"Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protect...",business,"Thinking...
The article is about a legal/business event: a Russian oil company attempting bankruptcy, court case, economic implications, etc. Category should be ""business"" (according to instructions: if economy, use business). So answer ""business"".
...done thinking.

business",0.82,False,,,,,,,,,
"Safety alert as GM recalls cars

The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles i...",business,"Thinking...
We need to output a single category word in English. Article is about GM recall. That is Business category? The user says: ""Svara på Engelska. Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'."" So if economy, respond 'business'. So category should be ""business"".
...done thinking.

Business",0.87,False,,,,,,,,,
"Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs o...",business,"Thinking...
We need to output a single category in English. The article is about a steel firm cutting jobs. This is business/finance. According to instructions: ""If you think the category is economy, write 'business' instead."" So answer should be ""business"".
...done thinking.

Business",0.77,False,,,,,,,,,
"Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy m...",business,"Thinking...
We must read article: It's about oil prices, IEA forecast, demand, etc. Category: business (as instructed). We need to output just one word, category ""business"". Ensure no other text.
...done thinking.

Business",0.68,False,,,,,,,,,
"UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as p...",business,"Thinking...
We need to classify article into single category. It's about land seizure, agrarian reform, property rights, political dispute. Category: Politics. Or could be Business? It's about a UK firm facing seizure, but main theme is political. So output: Politics.
...done thinking.

Politics",0.93,False,,,,,,,,,
"Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economi...",business,"Thinking...
The user requests: ""Read the article and categorize it in one simple category. You must answer with only one word, the category, and you must answer in English. If you would classify it as economy, instead write 'business'.""

We need to give one category: likely ""Business"". Article is about oil price effects on global economy, growth forecasts. That's economic, but per instruction: use ""business"" instead of ""economy"". So answer: business.
...done thinking.

Business",1.26,False,,,,,,,,,
"Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the ma...",business,"Thinking...
We need to categorize the news article into a single category. They want English, only one word, no CSV. Category options: Politik, Sport, Hälsa, Ekonomi, Kultur, etc. But they also say: ""If you think the category is ekonomi, write 'business' instead."" So we should use 'business'.

The article is about Irish markets hitting record highs, stock market, inflation, growth forecasts, banks, telecoms. That is business/economics. So answer: ""business"".

We should not add any other words.
...done thinking.

business",1.35,False,,,,,,,,,
"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ...",business,"Thinking...
We need to read the article: It's about Japanese banking merger and takeover. It's about finance, business deals. The categories suggested: Politik, Sport, Hälsa, Ekonomi, Kultur, etc. But we must respond only with a single category. We have to answer in English. If we think it's economy, we must write ""business"". So the category is business.
...done thinking.

Business",1.04,False,,,,,,,,,
"Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is...",business,"Thinking...
The article is about Colombian government subsidy distribution; it's about poor vs wealthy; it's about public funds, poverty; So category: Economy or Business? They said if I classify as economy I should use ""business"". So answer: Business.
...done thinking.

Business",0.79,False,,,,,,,,,
"Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a...",business,"Thinking...
We need to classify the article into a single category. The article is about a business deal involving a Chinese automotive company investing in MG Rover, job cuts potential. So category likely ""business"" or ""Economy"". The instruction says: If you think it is economy, write ""business"". So we should answer ""business"".
...done thinking.

business",0.97,False,,,,,,,,,
"Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted t...",business,"Thinking...
We need to classify article into single category. It's about advertising profits, corporate earnings, acquisitions. Category options: ""Business"". They say if economy, use ""business"". So output ""business"".
...done thinking.

business",0.69,False,,,,,,,,,
"US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance re...",business,"Thinking...
We need to categorize the article into a single category. The article is about the SEC extending the deadline for foreign firms to comply with Sarbanes-Oxley Act. That's business/finance regulation. The instruction: ""If you think the category is economy, write instead 'business'."" So we must answer with the word ""business"".

Thus final answer: business.
...done thinking.

business",1.03,False,,,,,,,,,
"Japanese mogul arrested for fraud

One of Japan's best-known businessmen was arrested on Thursday on charges of falsifyi...",business,"Thinking...
We need to provide a single word category. The article is about a Japanese mogul arrested for fraud. It's a business scandal, corporate governance, corruption. So category likely ""business"" because they say if think ""economy"" use business. So answer: ""business"".
...done thinking.

business",0.9,False,,,,,,,,,
"Deutsche Telekom sees mobile gain

German telecoms firm Deutsche Telekom saw strong fourth quarter profits on the back o...",business,"Thinking...
We need to read the article: It's about Deutsche Telekom profits, mobile earnings, debt, etc. It's about a telecom company, so it's about business. The instruction: If you think the category is economy, write ""business"". They want only a single word, one category. Must be English. So answer: ""Business"". That is the category.

We should not output anything else.
...done thinking.

Business",0.94,False,,,,,,,,,
"Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in Chi...",business,"Thinking...
We need to read article: It's about Illva Saronno buying 33% of Changyu, a Chinese wine maker. It's about business investment. They want category. Must be single word, English, one category. Can't say ""Business"" but instead ""business"". Also could be ""Economy"" but guidelines say if categorize as economy, use ""business"". So answer ""business"". Ensure only one word.
...done thinking.

business",1.01,False,,,,,,,,,
"Umbro profits lifted by Euro 2004

UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of repli...",business,"Thinking...
We must respond with a single category word, in English. The article is about Umbro profits, sportswear firm, sales from football kits. It's about financial performance, but the instructions: ""Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'."" So category should be ""business"". Not ""Economy"" or ""Ekonomi"". So answer: business.
...done thinking.

Business",0.97,False,,,,,,,,,
"Fed chief warning on US deficit

Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficit...",business,"Thinking...
We need to read the article, categorize it into a single category. The instruction says ""Svara endast med en kategori (t.ex. Politik, Sport, Hälsa, Ekonomi, Kultur, etc.)"". Also ""Svara bara med en kategori, skriv ej Bussiness (economy) exempelvis utan endast svara med EN kategori"". And ""Svara på Engelska"". And ""Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'."" So if it's economy, use business. The article is about Fed chairman warning about US deficit, budget deficits, taxes, pensions, etc. It's an economic policy article. So category: business.

We should output only ""business"" in English, no other words.
...done thinking.

business",1.64,False,,,,,,,,,
"UK Coal plunges into deeper loss

Shares in UK Coal have fallen after the mining group reported losses had deepened to £...",business,"Thinking...
The article: about UK Coal losses, share price, mining issues. Category likely business/economy. They say ""If you think economics, write business"". So answer: business.
...done thinking.

business",0.68,False,,,,,,,,,
"Saudi ministry to employ women

Women will be employed in Saudi Arabia's foreign ministry for the first time this year, ...",business,"Thinking...
We need to pick a single category from given options like Politik, Sport, Hälsa, Ekonomi, Kultur, etc. In English, categories should be single word like ""Politics"", ""Sport"", ""Health"", ""Business"", ""Culture"", etc. The article is about women employment in Saudi Arabia's foreign ministry. This is a political development. So category ""Politics"" or ""Political"" but the guidelines: Svara på Engelska. The example says ""Politik"" is a Swedish word but we must respond in English. So ""Politics"" should be fine. Also they mention ""If you think categorize as economy, write 'business'"". So we choose ""Politics"".

Thus answer: Politics.
...done thinking.

Politics",1.6,False,,,,,,,,,
"Japan economy slides to recession

The Japanese economy has officially gone back into recession for the fourth time in a...",business,"Thinking...
We need to read article: Japanese economy slides to recession. Category options: Politik, Sport, Hälsa, Ekonomi, Kultur, etc. But instruction: ""Svara på Engelska"". If classify as ekonomi, write ""business"". So answer: business.
...done thinking.

Business",0.93,False,,,,,,,,,
"US crude prices surge above $53

US crude prices have soared to fresh four-month highs above $53 in the US as refinery p...",business,"Thinking...
We need to categorize news article in one word. Article is about crude oil prices, US gasoline, refinery issues, OPEC, etc. This is economics or business news. According to instruction: if you think category is economy, write ""business"". So answer: business.
...done thinking.

Business",0.84,False,,,,,,,,,
"Industrial output falls in Japan

Japanese industrial output fell in October while unemployment rose, casting further do...",business,"Thinking...
The user wants one word category in English. They specifically say: ""If you think classify as economy, write instead 'business'."" So category should be ""business"". Also guidelines: only one word. Should not use other categories like ""Economy"". The user says: ""Svara endast med en kategori (t.ex. Politik, Sport, Hälsa, Ekonomi, Kultur, etc.)"" but then ""Om du tänker klassifiera kategorin som ekonomi skriv istället ""business"".""

Thus we respond ""business"".
...done thinking.

Business",1.29,False,,,,,,,,,
"Ryanair in $4bn Boeing plane deal

Budget airline Ryanair has placed an order for 70 Boeing 737-800 planes, in a deal va...",business,"Thinking...
We need a single category, in English, only one word. For this article about Ryanair ordering Boeing planes, it's business/finance, but the instruction says: if you think category is economy, instead write ""business"". So answer: business.
...done thinking.

Business",0.79,False,,,,,,,,,
"Parmalat to return to stockmarket

Parmalat, the Italian dairy company which went bust after an accounting scandal, hope...",business,"Thinking...
We need to read article: about Parmalat re-listing, accounting scandal, creditors, financial info. The category: business. They instruct: If you think category is economics, write ""business"". So answer: business.
...done thinking.

business",0.76,False,,,,,,,,,
"BMW cash to fuel Mini production

Less than four years after the new Mini was launched, German car maker BMW has announc...",business,"Thinking...
We need to output a single category word in English. The article is about automotive production investment. It's about business/industry. According to instruction: if thinking economics, write ""business"". So answer: ""business"".
...done thinking.

business",0.88,False,,,,,,,,,
"Bad weather hits Nestle sales

A combination of bad weather, rising raw material costs and the sluggish European economy...",business,"Thinking...
We need to read article: Nestle sales, bad weather hits sales, revenues dip, etc. It's about business performance, financial results, economic conditions. So category: ""business"". The instructions: ""If you think category is economy, write 'business' instead of economy."" So answer: business.
...done thinking.

business",0.91,False,,,,,,,,,
"Fiat mulls Ferrari market listing

Ferrari could be listed on the stock market as part of an overhaul of Fiat's carmakin...",business,"Thinking...
We need to read article: Fiat mulls Ferrari market listing, about restructuring of car operations, listing Ferrari, synergy, GM settlement, etc. This is about business/financial, so category ""business"". The instruction: ""If you think classification category is ekonomi, write 'business' instead."" So answer: business.
...done thinking.

Business",0.92,False,,,,,,,,,
"Italy to get economic action plan

Italian Prime Minister Silvio Berlusconi will unveil plans aimed at kickstarting the ...",business,"Thinking...
The user asks: ""Läs följande nyhetsartikel och kategorisera den i EN enkel kategori:"" They want a single category. They specify: ""Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'."" So for economy category we use ""business"". The article is about Italian economic action plan. So category ""business"". Must respond only with the word, no other text. In English. So just ""business"".
...done thinking.

business",1.27,False,,,,,,,,,
"Weak dollar hits Reuters

Revenues at media group Reuters slipped 11% during 2004, mainly due to the weakness of the dol...",business,"Thinking...
The user gives a Swedish instruction: ""Läs följande nyhetsartikel och kategorisera den i EN enkel kategori: ... Du får endast svara med en kategori, du får inte spara din tankegång i CSV filen för då fungerar inte kalkylatorerna. Du måste svara med enbart ETT ord och det ska vara den kategorin du bestämmer på artikeln."" Then the article: about Reuters, revenues, profit, etc. It's about business finances, economic performance. The instruction: ""Svara endast med en kategori (t.ex. Politik, Sport, Hälsa, Ekonomi, Kultur, etc.) Svara bara med en kategori, skriv ej Bussiness (economy) exempelvis utan endast svara med EN kategori Svara på Engelska Om du tänker klassifiera kategorin som ekonomi skriv istället ""business""."" So the category should be ""business"".

Thus answer: business.
...done thinking.

Business",2.0,False,,,,,,,,,
"Hyundai to build new India plant

South Korea's Hyundai Motor has announced that it plans to build a second plant in Ind...",business,"Thinking...
We need to read article. It's about Hyundai building new plant in India. Category: Business (since economy). The instruction: ""If you think category is economy, write 'business'"". So answer should be ""business"".
...done thinking.

Business",0.75,False,,,,,,,,,
"SA unveils 'more for all' budget

The South African government has put tax cuts and increased social spending at the cen...",business,"Thinking...
The user asks: ""Read following news article and categorize it in ONE simple category. You must answer with only ONE word, the category. They provide guidelines: categories such as Politik, Sport, Hälsa, Ekonomi, Kultur, etc. They say: ""Svara på Engelska"" (Answer in English). If you think category is economy, write ""business"" instead. So we must output one word, likely ""business"" because it's about a budget. The article is about South African government budget, tax cuts, social spending, economy. That falls under economy/business. So we output ""business"".

Check if any other categories might be more apt? Politics? It's a government budget, but the article is primarily about economic measures, tax cuts, spending. So ""business"" is fine. Provide only that word.
...done thinking.

business",1.86,False,,,,,,,,,
"BMW drives record sales in Asia

BMW has forecast sales growth of at least 10% in Asia this year after registering recor...",business,"Thinking...
We need to read the article and categorize into a single category: Politics, Sport, Health, Economy, Culture, etc. The instruction: ""Svara på Engelska"" ""If you think of economy, write 'business'"". So category ""business"". The article is about BMW sales growth in Asia, automotive industry. It's business. So answer: ""Business"".
...done thinking.

Business",1.01,False,,,,,,,,,
"Economy 'stronger than forecast'

The UK economy probably grew at a faster rate in the third quarter than the 0.4% repor...",business,"Thinking...
We need to read article and output a single word category. The user wants English answer, one word, category like ""Polic... "" They said: ""Om du tänker klassifiera kategorin som ekonomi skriv istället ""business"". So economy should be ""business"". The article is about UK economy, growth, Bank of England, etc. So category: business.
...done thinking.

Business",1.15,False,,,,,,,,,
"Electrolux to export Europe jobs

Electrolux saw its shares rise 14% on Tuesday after it said it would be shifting more ...",business,"Thinking...
We need to read article, classify into one simple category. The article is about Electrolux shifting manufacturing to low-cost countries, layoffs, shares rise, restructuring. It's about business, industry, manufacturing, economic policy. Should be ""business"" according to instructions: ""If you think classify as economy write instead 'business'"". So answer should be ""business"".
...done thinking.

business",1.03,False,,,,,,,,,
"Worldcom ex-boss launches defence

Lawyers defending former WorldCom chief Bernie Ebbers against a battery of fraud char...",business,"Thinking...
We need to classify the article into a single category: Politics, Sport, Health, Economy, Culture, etc. Must answer only one word. Must be in English. If we think economy, we should write ""business"". The article is about a fraud case, corporate scandal, accounting fraud, a lawsuit, a judge, a former company CEO, a company name, etc. It's a business/legal matter but likely under business/finance category. The instruction: ""Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'."" So we should choose ""business"". Provide only that word.
...done thinking.

Business",1.48,False,,,,,,,,,
"Insurance bosses plead guilty

Another three US insurance executives have pleaded guilty to fraud charges stemming from ...",business,"Thinking...
We need to pick a category: It's about insurance executives pleading guilty. This is business, specifically finance or corporate wrongdoing. According to instruction: If category economy, write ""business"". So answer: ""business"".
...done thinking.

Business",0.72,False,,,,,,,,,
"Further rise in UK jobless total

The UK's jobless total rose for the second month in a row in December, official figure...",business,"Thinking...
We need to categorize the news article in a single category. It is about UK's unemployment numbers, jobless total, employment, wages, and mention of Bank of England rates. That falls under business/finance, i.e., ""business"". According to instruction: If we think economics, we must say ""business"". So answer ""business"".
...done thinking.

Business",0.96,False,,,,,,,,,
"Wembley firm won't make a profit

Shares in Multiplex Group, which is building the new Wembley stadium, fell as much as ...",business,"Thinking...
We need to read the article. It's about Multiplex Group shares falling due to not making a profit on Wembley project. It's about business, finance. Category should be ""business"" as per instruction: ""Om du tänker klassifiera kategorin som ekonomi skriv istället 'business'"". So output should be one word: business.
...done thinking.

business",0.95,False,,,,,,,,,
"Cars pull down US retail figures

US retail sales fell 0.3% in January, the biggest monthly decline since last August, d...",business,"Thinking...
We need to categorize the news article into a single category. The article is about US retail sales, car sales etc. That's economic data. According to instruction: ""If you think of category as economics write instead 'business'."" So answer should be 'business'. Must only output that word. No other words. And respond in English. So final answer: business.
...done thinking.

business",1.02,False,,,,,,,,,
"Lufthansa may sue over Bush visit

German airline Lufthansa may sue federal agencies for damages after the arrival of US...",business,"Thinking...
We need to read article. It's about Lufthansa suing federal agencies due to Bush visit disrupting flights. It's about airline, flight delays, legal action. So category: Business? It's economic? Actually they say ""You should write 'business' for economy."" So choose category: Business. But maybe also ""Politics"" because it's about a US President visiting, but the main focus is on Lufthansa's business/legal action due to travel disruptions. Category: Business.
...done thinking.

Business",1.16,False,,,,,,,,,
